index,x,y_elevation,z,cumulative_length_m
219,-173.1306915283203,-6.5745158195495605,69.07730865478516,346.6052551269531
220,-172.96392822265625,-6.565025806427002,67.4625244140625,348.22869873046875
221,-172.79583740234375,-6.557558536529541,65.84794616699219,349.8520812988281
222,-172.62745666503906,-6.545504093170166,64.23343658447266,351.4754638671875
223,-172.45921325683594,-6.533650875091553,62.61876678466797,353.0989685058594
224,-172.2903594970703,-6.52371883392334,61.00417709350586,354.7224426269531
225,-172.12063598632812,-6.515101909637451,59.38977813720703,356.3458251953125
226,-171.95045471191406,-6.5049004554748535,57.77548599243164,357.9691467285156
227,-171.78013610839844,-6.495303630828857,56.16106414794922,359.5926208496094
228,-171.60964965820312,-6.486076354980469,54.546722412109375,361.2160339355469
229,-171.43905639648438,-6.477642059326172,52.93238067626953,362.8394470214844
230,-171.2685089111328,-6.468725204467773,51.31793212890625,364.46295166015625
231,-171.09811401367188,-6.460422515869141,49.70344543457031,366.0864562988281
232,-170.9275665283203,-6.452360153198242,48.08900833129883,367.7099609375
233,-170.7567901611328,-6.443329811096191,46.47457504272461,369.3334655761719
234,-170.58580017089844,-6.433904647827148,44.860050201416016,370.95709228515625
235,-170.4145050048828,-6.424478530883789,43.24555206298828,372.5807189941406
236,-170.2431182861328,-6.4155497550964355,41.63098907470703,374.2044372558594
237,-170.07199096679688,-6.40696382522583,40.01626968383789,375.8282775878906
238,-169.90121459960938,-6.398637294769287,38.40151596069336,377.4521179199219
239,-169.73101806640625,-6.390048503875732,36.78675079345703,379.0758972167969
240,-169.56137084960938,-6.380404949188232,35.17182159423828,380.6997985839844
241,-169.3919677734375,-6.3705244064331055,33.556739807128906,382.3238220214844
242,-169.22299194335938,-6.361517906188965,31.941560745239258,383.9479064941406
243,-169.05445861816406,-6.353588581085205,30.326213836669922,385.57208251953125
244,-168.88619995117188,-6.344999313354492,28.710886001586914,387.19622802734375
245,-168.71871948242188,-6.3358378410339355,27.095487594604492,388.82037353515625
246,-168.55152893066406,-6.325606822967529,25.479948043823242,390.4446105957031
247,-168.38433837890625,-6.315810203552246,23.864213943481445,392.0690612792969
248,-168.21722412109375,-6.30700159072876,22.24842643737793,393.69354248046875
249,-168.05032348632812,-6.299190998077393,20.63258171081543,395.31805419921875
250,-167.8831787109375,-6.2906646728515625,19.0167179107666,396.9425964355469
251,-167.7162628173828,-6.281929969787598,17.400758743286133,398.5672302246094
252,-167.5494384765625,-6.272644519805908,15.784748077392578,400.19189453125
253,-167.3824920654297,-6.263428211212158,14.1686429977417,401.8166809082031
254,-167.2157745361328,-6.254556179046631,12.552369117736816,403.4416198730469
255,-167.0492706298828,-6.245681285858154,10.936100006103516,405.0665283203125
256,-166.8831024169922,-6.2370219230651855,9.319742202758789,406.69146728515625
257,-166.7170867919922,-6.227055549621582,7.703306674957275,408.3164978027344
258,-166.551513671875,-6.216849327087402,6.086776256561279,409.9415588378906
259,-166.3992919921875,-6.2074503898620605,4.59446907043457,411.44171142578125
260,-166.24757385253906,-6.198320388793945,3.1019864082336426,412.94195556640625
261,-166.0963592529297,-6.189554691314697,1.609387993812561,414.4422607421875
262,-165.945556640625,-6.18165397644043,0.11670103669166565,415.942626953125
263,-165.795166015625,-6.173382759094238,-1.3760080337524414,417.4429626464844
264,-165.64512634277344,-6.164212703704834,-2.8687586784362793,418.9433288574219
265,-165.4951629638672,-6.154348373413086,-4.361613750457764,420.44378662109375
266,-165.34519958496094,-6.144595623016357,-5.854556083679199,421.9443359375
