t_s,car_x,car_z,e_y_m,e_psi_rad,theta_ref0_deg,theta_real_deg,theta_dot_kf_degs,theta_dot_raw_degs,error_deg,tau_Nm,speed_kmh,kappa_avg,loop_dt_ms
6.367,36.929,732.11,0.5112,-0.01744,1.073,1.201,1.475,0.0,-0.127,-0.0049,47.42,0.000883,9.95
6.422,36.875,732.781,0.4996,-0.01666,1.313,1.206,0.404,0.0,0.107,-0.0013,47.57,-0.000166,14.6
6.468,36.82,733.453,0.4886,-0.01592,1.111,1.15,0.117,0.0,-0.039,-0.0085,47.57,-0.000166,9.82
6.523,36.764,734.124,0.4779,-0.01486,0.382,0.856,-1.133,0.0,-0.474,-0.0351,47.52,0.000515,14.94
6.568,36.715,734.716,0.4693,-0.01433,0.251,0.573,-5.872,0.0,-0.322,-0.0088,47.51,0.000515,9.82
6.623,36.656,735.426,0.4585,-0.01309,-0.541,0.204,-5.664,0.0,-0.745,-0.0219,47.66,1.5e-05,14.54
6.67,36.599,736.106,0.4496,-0.01308,-0.294,0.008,-7.383,0.0,-0.302,0.0113,48.66,1.5e-05,11.31
6.717,36.541,736.798,0.4405,-0.01309,-0.088,-0.01,-3.915,0.0,-0.079,0.018,49.27,1.5e-05,8.06
6.771,36.482,737.497,0.4312,-0.01258,-0.126,-0.051,-0.351,0.0,-0.075,-0.0039,49.66,-0.0003,11.76
6.825,36.423,738.202,0.4223,-0.01269,0.107,-0.031,-0.826,0.0,0.138,0.0071,50.15,-0.0003,14.97
6.873,36.371,738.83,0.4142,-0.01281,0.081,0.064,0.404,0.0,0.018,0.0111,50.67,0.000437,13.28
6.92,36.307,739.592,0.4044,-0.01276,0.244,0.189,1.888,0.0,0.054,0.0077,51.23,0.000437,9.83
6.976,36.246,740.319,0.3951,-0.01252,0.723,0.298,2.514,0.0,0.425,0.002,51.82,0.000281,15.3
7.023,36.185,741.055,0.3859,-0.01244,0.857,0.408,2.176,0.0,0.449,0.0039,52.39,0.000281,11.88
7.076,36.122,741.8,0.3767,-0.01252,0.385,0.464,2.195,0.0,-0.079,-0.0036,53.02,0.000799,14.66
7.123,36.067,742.465,0.3684,-0.01241,0.481,0.522,1.124,0.0,-0.041,0.0022,53.66,0.000799,11.74
7.177,36.003,743.227,0.3588,-0.01183,0.91,0.656,1.154,0.0,0.254,0.0127,54.29,-2.3e-05,15.82
7.225,35.938,743.998,0.3497,-0.01152,0.918,0.766,2.69,0.0,0.153,0.0012,54.96,-2.3e-05,13.37
7.278,35.868,744.825,0.3404,-0.01172,1.066,0.722,2.188,0.0,0.344,-0.0176,55.65,0.000582,15.82
7.327,35.801,745.616,0.3313,-0.01145,1.089,0.67,-0.88,0.0,0.419,-0.0026,56.36,0.000582,14.4
7.379,35.741,746.323,0.3232,-0.01096,0.289,0.5,-1.028,0.0,-0.211,-0.0185,57.07,0.00037,16.36
7.425,35.672,747.133,0.3143,-0.01071,0.313,0.367,-3.417,0.0,-0.054,-0.0006,57.74,0.00037,11.6
7.479,35.601,747.954,0.3056,-0.01045,0.272,0.275,-2.646,0.0,-0.003,0.0009,58.47,0.000378,15.22
7.53,35.53,748.784,0.2969,-0.01032,0.344,0.239,-1.851,0.0,0.105,0.0047,59.2,0.000378,15.89
7.578,35.458,749.625,0.2885,-0.01104,0.394,0.558,-0.717,0.0,-0.164,0.0483,59.95,0.000334,13.28
7.626,35.389,750.427,0.2797,-0.0107,0.361,0.832,6.383,0.0,-0.471,0.0049,60.69,0.000334,11.69
7.68,35.314,751.288,0.2709,-0.01069,1.767,0.959,5.483,0.0,0.809,-0.011,61.42,0.000114,14.92
7.728,35.238,752.16,0.2617,-0.01009,1.626,0.974,2.53,0.0,0.652,-0.0111,62.1,0.000114,12.09
7.78,35.161,753.042,0.2529,-0.01089,1.227,1.192,0.307,0.0,0.035,0.0288,62.82,0.000681,13.99
7.831,35.081,753.934,0.2434,-0.0097,1.456,1.403,4.352,0.0,0.052,0.0068,63.56,0.00044,14.84
7.877,35.001,754.836,0.2349,-0.00907,1.294,1.465,4.234,0.0,-0.171,-0.0136,64.29,0.00044,10.51
7.932,34.918,755.748,0.2271,-0.00918,1.82,1.366,1.228,0.0,0.453,-0.0201,64.98,0.000702,14.87
7.979,34.839,756.617,0.2194,-0.00854,1.641,1.23,-1.964,0.0,0.411,-0.0087,65.7,0.000702,12.07
8.034,34.754,757.549,0.2116,-0.00807,0.625,1.04,-2.72,0.0,-0.415,-0.0124,66.41,0.000801,16.8
8.083,34.667,758.491,0.204,-0.00703,0.483,0.719,-3.817,0.0,-0.237,-0.0247,67.12,0.001157,15.23
